Action,الإجراء,
Active,نشط,
Address,العنوان,
Age,العمر,
All Personnel,كل الأفراد,
An Excel file must be attached to the Personnel Committee before importing.,يجب إرفاق ملف Excel باللجنة قبل الاستيراد.,
Audit,المراجعة,
Authoritative personnel master records.,سجلات الأفراد الرئيسية المعتمدة.,
Birth Date,تاريخ الميلاد,
Category,الفئة,
Cause,السبب,
Charts,الرسوم البيانية,
Charts & Dashboard,الرسوم البيانية ولوحة المعلومات,
Committee,اللجنة,
Committee Date,تاريخ اللجنة,
Committee Name,اسم اللجنة,
Committee Records,سجلات اللجان,
Committee Type,نوع اللجنة,
Committee setup and attached Excel import files.,إعداد اللجان وملفات Excel المرفقة للاستيراد.,
Committees,اللجان,
Conflict Center,مركز التعارضات,
Conflict Options,خيارات التعارض,
Conflict Type,نوع التعارض,
Conflict resolved.,تم حل التعارض.,
Created Date,تاريخ الإنشاء,
Current personnel snapshots per committee.,لقطات بيانات الأفراد الحالية لكل لجنة.,
Date,التاريخ,
Decision,القرار,
Description,الوصف,
Detentions,الحجوزات,
Detentions Charts & Dashboard,لوحة معلومات ورسوم الحجوزات,
Detentions Charts & Dashboards,لوحات معلومات ورسوم الحجوزات,
Detentions By Rank,الحجوزات حسب الرتبة,
Detentions By Unit,الحجوزات حسب الوحدة,
Detentions by Rank,الحجوزات حسب الرتبة,
Detentions by Unit,الحجوزات حسب الوحدة,
Diagnosis,التشخيص,
Duration,المدة,
"Enter military numbers, one per line",أدخل الأرقام العسكرية، رقمًا في كل سطر,
Excel File,ملف Excel,
Excel file not found: {0},لم يتم العثور على ملف Excel: {0},
Existing duplicate history record could not be found.,تعذر العثور على سجل التاريخ المكرر الموجود.,
Export Mode,وضع التصدير,
Export personnel data to Excel.,تصدير بيانات الأفراد إلى Excel.,
Export to Excel,تصدير إلى Excel,
Family Information,بيانات الأسرة,
Family Image ,صورة الأسرة,
Family Photo,صورة الأسرة,
Field Conflict,تعارض حقل,
Filed / Record,الحقل / السجل,
Full Name,الاسم الكامل,
Height,الطول,
Height Date,تاريخ الطول,
High Salary Date,تاريخ العلاوة العالية,
Image,الصورة,
Import Complete,اكتمل الاستيراد,
Import conflicts and resolution history.,تعارضات الاستيراد وسجل الحلول.,
Import Workbook,استيراد المصنف,
Importing workbook...,جارٍ استيراد المصنف...,
Imprisonments,الحبس,
Imprisonments Charts & Dashboard,لوحة معلومات ورسوم الحبس,
Imprisonments Charts & Dashboards,لوحات معلومات ورسوم الحبس,
Imprisonments By Rank,الحبس حسب الرتبة,
Imprisonments by Rank,الحبس حسب الرتبة,
Imprisonments By Unit,الحبس حسب الوحدة,
Imprisonments by Unit,الحبس حسب الوحدة,
Job,الوظيفة,
Job Name,اسم الوظيفة,
Loading committees...,جارٍ تحميل اللجان...,
Loading conflicts...,جارٍ تحميل التعارضات...,
Mapped,مطابق,
Measurements,القياسات,
Medical Committees,اللجان الطبية,
Medical Committees Charts & Dashboard,لوحة معلومات ورسوم اللجان الطبية,
Medical Committees Charts & Dashboards,لوحات معلومات ورسوم اللجان الطبية,
Medical Committees By Rank,اللجان الطبية حسب الرتبة,
Medical Committees by Rank,اللجان الطبية حسب الرتبة,
Medical Committees By Unit,اللجان الطبية حسب الوحدة,
Medical Committees by Unit,اللجان الطبية حسب الوحدة,
Military Courts,المحاكم العسكرية,
Military Courts Charts & Dashboard,لوحة معلومات ورسوم المحاكم العسكرية,
Military Courts Charts & Dashboards,لوحات معلومات ورسوم المحاكم العسكرية,
Military Courts By Rank,المحاكم العسكرية حسب الرتبة,
Military Courts by Rank,المحاكم العسكرية حسب الرتبة,
Military Courts By Unit,المحاكم العسكرية حسب الوحدة,
Military Courts by Unit,المحاكم العسكرية حسب الوحدة,
Military Number,الرقم العسكري,
Military Numbers,الأرقام العسكرية,
Missing required sheets: {0},الأوراق المطلوبة المفقودة: {0},
Name,الاسم,
Names of Boys,أسماء الأولاد,
Names of Girls,أسماء البنات,
Navy Personnel,أفراد البحرية,
Navy Personnel Admin,مسؤول أفراد البحرية,
Navy Personnel Editor,محرر أفراد البحرية,
Navy Personnel User,مستخدم أفراد البحرية,
Navy Job,وظيفة بحرية,
Navy Rank,رتبة بحرية,
Navy Unit,وحدة بحرية,
Navy Weapon,سلاح بحري,
No personnel records found.,لم يتم العثور على سجلات أفراد.,
No committees,لا توجد لجان,
No unresolved conflicts.,لا توجد تعارضات غير محلولة.,
Number of Boys,عدد الأولاد,
Number of Girls,عدد البنات,
Option,الخيار,
Personnel,الأفراد,
Personnel By Rank,الأفراد حسب الرتبة,
Personnel Charts & Dashboard,الرسوم البيانية ولوحة معلومات الأفراد,
"Personnel Charts & Dashboard ",الرسوم البيانية ولوحة معلومات الأفراد,
Personnel Charts & Dashboard -Administrator,الرسوم البيانية ولوحة معلومات الأفراد - المدير,
Personnel Child,تابع الفرد,
Personnel Committee,لجنة الأفراد,
Personnel Committee Record,سجل لجنة الأفراد,
Personnel Conflict Center,مركز تعارضات الأفراد,
